1,2015,Star Wars Ep. VII: The Force Awakens,"$936,662,225"
2,2009,Avatar,"$760,507,625"
3,2018,Black Panther,"$700,059,566"
4,2018,Avengers: Infinity War,"$678,778,164"
5,1997,Titanic,"$659,363,944"
6,2015,Jurassic World,"$652,270,625"
7,2012,The Avengers,"$623,279,547"
8,2017,Star Wars Ep. VIII: The Last Jedi,"$620,181,382"
9,2018,Incredibles 2,"$602,326,913"
10,2008,The Dark Knight,"$533,345,358"
11,2016,Rogue One: A Star Wars Story,"$532,177,324"
12,2017,Beauty and the Beast,"$504,014,165"
13,2016,Finding Dory,"$486,295,561"
14,1999,Star Wars Ep. I: The Phantom Menace,"$474,544,677"
15,1977,Star Wars Ep. IV: A New Hope,"$460,998,007"
16,2015,Avengers: Age of Ultron,"$459,005,868"
17,2012,The Dark Knight Rises,"$448,139,099"
18,2004,Shrek 2,"$441,226,247"
19,1982,ET: The Extra-Terrestrial,"$435,110,554"
20,2013,The Hunger Games: Catching Fire,"$424,668,047"
21,2006,Pirates of the Caribbean: Dead Man’s Chest,"$423,315,812"
22,1994,The Lion King,"$421,785,283"
23,2018,Jurassic World: Fallen Kingdom,"$415,169,140"
24,2010,Toy Story 3,"$415,004,880"
25,2017,Wonder Woman,"$412,563,408"
26,2013,Iron Man 3,"$408,992,272"
27,2016,Captain America: Civil War,"$408,084,349"
28,2012,The Hunger Games,"$408,010,692"
29,2017,Jumanji: Welcome to the Jungle,"$404,508,916"
30,2002,Spider-Man,"$403,706,375"
31,2009,Transformers: Revenge of the Fallen,"$402,111,870"
32,2013,Frozen,"$400,738,009"
33,1993,Jurassic Park,"$395,708,305"
34,2017,Guardians of the Galaxy Vol 2,"$389,813,101"
35,2011,Harry Potter and the Deathly Hallows: Part II,"$381,011,219"
36,2003,Finding Nemo,"$380,529,370"
37,2005,Star Wars Ep. III: Revenge of the Sith,"$380,270,577"
38,2003,The Lord of the Rings: The Return of the King,"$377,845,905"
39,1991,Beauty and the Beast,"$376,057,266"
40,2004,Spider-Man 2,"$373,524,485"
41,2004,The Passion of the Christ,"$370,782,930"
42,2016,The Secret Life of Pets,"$368,384,330"
43,2013,Despicable Me 2,"$368,065,385"
44,2016,The Jungle Book,"$364,001,123"
45,2016,Deadpool,"$363,070,709"
46,2015,Inside Out,"$356,461,711"
47,2015,Furious 7,"$353,007,020"
48,2011,Transformers: Dark of the Moon,"$352,390,543"
49,2014,American Sniper,"$350,126,372"
50,2002,The Lord of the Rings: The Two Towers,"$342,548,984"
51,2016,Zootopia,"$341,268,248"
52,2014,The Hunger Games: Mockingjay - Part 1,"$337,135,885"
53,2007,Spider-Man 3,"$336,530,303"
54,2015,Minions,"$336,045,770"
55,2017,Spider-Man: Homecoming,"$334,201,140"
56,2010,Alice in Wonderland,"$334,191,110"
57,2014,Guardians of the Galaxy,"$333,172,112"
58,2016,Batman v Superman: Dawn of Justice,"$330,360,194"
59,1994,Forrest Gump,"$330,151,138"
60,2017,It,"$327,481,748"
61,2016,Suicide Squad,"$325,100,054"
62,2007,Shrek the Third,"$322,719,944"
63,2007,Transformers,"$319,246,193"
64,2008,Iron Man,"$318,604,126"
65,2018,Deadpool 2,"$318,415,522"
66,2001,Harry Potter and the Sorcerer’s Stone,"$317,575,550"
67,2008,Indiana Jones and the Kingdom of the Crystal Skull,"$317,101,119"
68,2001,The Lord of the Rings: The Fellowship of the Ring,"$315,544,750"
69,2017,Thor: Ragnarok,"$315,058,289"
70,2010,Iron Man 2,"$312,433,331"
71,2002,Star Wars Ep. II: Attack of the Clones,"$310,676,740"
72,2007,Pirates of the Caribbean: At World’s End,"$309,420,425"
73,1983,Star Wars Ep. VI: Return of the Jedi,"$309,205,079"
74,1996,Independence Day,"$306,169,255"
75,2003,Pirates of the Caribbean: The Curse of the Blac…,"$305,411,224"
76,2012,Skyfall,"$304,360,277"
77,2012,The Hobbit: An Unexpected Journey,"$303,003,568"
78,2009,Harry Potter and the Half-Blood Prince,"$301,959,197"
79,2010,The Twilight Saga: Eclipse,"$300,531,751"
80,2009,The Twilight Saga: New Moon,"$296,623,634"
81,2010,Harry Potter and the Deathly Hallows: Part I,"$295,983,305"
82,1999,The Sixth Sense,"$293,506,292"
83,2009,Up,"$293,004,164"
84,2010,Inception,"$292,576,195"
85,2012,"The Twilight Saga: Breaking Dawn, Part 2","$292,324,737"
86,2007,Harry Potter and the Order of the Phoenix,"$292,004,738"
87,2005,"The Chronicles of Narnia: The Lion, the Witch a…","$291,710,957"
88,2013,Man of Steel,"$291,045,518"
89,1980,Star Wars Ep. V: The Empire Strikes Back,"$290,271,960"
90,2005,Harry Potter and the Goblet of Fire,"$290,013,036"
91,2001,"Monsters, Inc.","$289,423,425"
92,1990,Home Alone,"$285,761,243"
93,2015,The Hunger Games: Mockingjay - Part 2,"$281,723,902"
94,2003,The Matrix Reloaded,"$281,553,689"
95,2011,"The Twilight Saga: Breaking Dawn, Part 1","$281,287,133"
96,2004,Meet the Fockers,"$279,167,575"
97,2009,The Hangover,"$277,322,503"
98,2013,Gravity,"$274,092,705"
99,2016,Sing,"$270,329,045"
100,2013,Monsters University,"$268,488,329"
1,2015,Star Wars Ep. VII: The Force Awakens,"$936,662,225","$1,121,938,995","$2,058,601,220"
2,2009,Avatar,"$760,507,625","$2,015,837,654","$2,776,345,279"
3,2018,Black Panther,"$700,059,566","$647,011,693","$1,347,071,259"
4,2018,Avengers: Infinity War,"$678,778,164","$1,335,469,654","$2,014,247,818"
5,1997,Titanic,"$659,363,944","$1,548,844,451","$2,208,208,395"
6,2015,Jurassic World,"$652,270,625","$1,019,442,583","$1,671,713,208"
7,2012,The Avengers,"$623,279,547","$896,200,000","$1,519,479,547"
8,2017,Star Wars Ep. VIII: The Last Jedi,"$620,181,382","$697,910,658","$1,318,092,040"
9,2018,Incredibles 2,"$602,326,913","$562,500,000","$1,164,826,913"
10,2008,The Dark Knight,"$533,345,358","$468,275,260","$1,001,620,618"
11,2016,Rogue One: A Star Wars Story,"$532,177,324","$518,811,164","$1,050,988,488"
12,2017,Beauty and the Beast,"$504,014,165","$757,125,465","$1,261,139,630"
13,2016,Finding Dory,"$486,295,561","$535,092,526","$1,021,388,087"
14,1999,Star Wars Ep. I: The Phantom Menace,"$474,544,677","$552,500,000","$1,027,044,677"
15,1977,Star Wars Ep. IV: A New Hope,"$460,998,007","$325,600,000","$786,598,007"
16,2015,Avengers: Age of Ultron,"$459,005,868","$949,058,886","$1,408,064,754"
17,2012,The Dark Knight Rises,"$448,139,099","$636,300,000","$1,084,439,099"
18,2004,Shrek 2,"$441,226,247","$495,781,885","$937,008,132"
19,1982,ET: The Extra-Terrestrial,"$435,110,554","$357,854,772","$792,965,326"
20,2013,The Hunger Games: Catching Fire,"$424,668,047","$440,200,000","$864,868,047"
21,2006,Pirates of the Caribbean: Dead Man’s Chest,"$423,315,812","$642,900,000","$1,066,215,812"
22,1994,The Lion King,"$421,785,283","$564,546,992","$986,332,275"
23,2018,Jurassic World: Fallen Kingdom,"$415,169,140","$885,381,929","$1,300,551,069"
24,2010,Toy Story 3,"$415,004,880","$654,661,124","$1,069,666,004"
25,2017,Wonder Woman,"$412,563,408","$408,569,970","$821,133,378"
26,2013,Iron Man 3,"$408,992,272","$806,400,000","$1,215,392,272"
27,2016,Captain America: Civil War,"$408,084,349","$735,539,913","$1,143,624,262"
28,2012,The Hunger Games,"$408,010,692","$269,912,687","$677,923,379"
29,2017,Jumanji: Welcome to the Jungle,"$404,508,916","$557,734,934","$962,243,850"
30,2002,Spider-Man,"$403,706,375","$418,000,000","$821,706,375"
31,2009,Transformers: Revenge of the Fallen,"$402,111,870","$434,407,829","$836,519,699"
32,2013,Frozen,"$400,738,009","$873,496,971","$1,274,234,980"
33,1993,Jurassic Park,"$395,708,305","$643,104,279","$1,038,812,584"
34,2017,Guardians of the Galaxy Vol 2,"$389,813,101","$473,075,361","$862,888,462"
35,2011,Harry Potter and the Deathly Hallows: Part II,"$381,011,219","$960,500,000","$1,341,511,219"
36,2003,Finding Nemo,"$380,529,370","$555,900,000","$936,429,370"
37,2005,Star Wars Ep. III: Revenge of the Sith,"$380,270,577","$468,728,300","$848,998,877"
38,2003,The Lord of the Rings: The Return of the King,"$377,845,905","$763,557,436","$1,141,403,341"
39,1991,Beauty and the Beast,"$376,057,266","$232,378,217","$608,435,483"
40,2004,Spider-Man 2,"$373,524,485","$421,586,185","$795,110,670"
41,2004,The Passion of the Christ,"$370,782,930","$251,558,994","$622,341,924"
42,2016,The Secret Life of Pets,"$368,384,330","$518,395,458","$886,779,788"
43,2013,Despicable Me 2,"$368,065,385","$607,151,450","$975,216,835"
44,2016,The Jungle Book,"$364,001,123","$599,818,419","$963,819,542"
45,2016,Deadpool,"$363,070,709","$437,958,540","$801,029,249"
46,2015,Inside Out,"$356,461,711","$501,250,949","$857,712,660"
47,2015,Furious 7,"$353,007,020","$1,165,715,774","$1,518,722,794"
48,2011,Transformers: Dark of the Moon,"$352,390,543","$771,400,000","$1,123,790,543"
49,2014,American Sniper,"$350,126,372","$197,200,000","$547,326,372"
50,2002,The Lord of the Rings: The Two Towers,"$342,548,984","$592,150,661","$934,699,645"
