m_id,year,date,match_no,team1,team2,city,venue,toss_winner,toss_decision,t1_p1,t1_p2,t1_p3,t1_p4,t1_p5,t1_p6,t1_p7,t1_p8,t1_p9,t1_p10,t1_p11,t2_p1,t2_p2,t2_p3,t2_p4,t2_p5,t2_p6,t2_p7,t2_p8,t2_p9,t2_p10,t2_p11,winner,win_runs,win_wicket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,1,18-04-2008,1st match,Royal Challengers Bangalore,Kolkata Knight Riders,Bengaluru,M.Chinnaswamy Stadium,Royal Challengers Bangalore,bowl,Rahul Dravid,Zaheer Khan,Mark Boucher,Jacques Kallis,Cameron White,Wasim Jaffer,Praveen Kumar,Ashley Noffke,Virat Kohli,Balachandra Akhil,Sunil Joshi,Sourav Ganguly,Ricky Ponting,Ajit Agarkar,Brendon McCullum,Murali Kartik,Mohammad Hafeez,David Hussey,Ishant Sharma,Wriddhiman Saha,Ashok Dinda,Laxmi Shukla,Kolkata Knight Riders,140,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,2,19-04-2008,2nd match,Kings XI Punjab,Chennai Super Kings,Mohali,Punjab Cricket Association IS Bindra Stadium,Chennai Super Kings,bat,Brett Lee,Yuvraj Singh,Irfan Pathan,Kumar Sangakkara,Simon Katich,James Hopes,S Sreesanth,Piyush Chawla,Pankaj Dharmani,Karan Goel,Wilkin Mota,Jacob Oram,Parthiv Patel,Muttiah Muralitharan,Matthew Hayden,MS Dhoni,Joginder Sharma,Suresh Raina,S Badrinath,Manpreet Gony,Palani Amarnath,Michael Hussey,Chennai Super Kings,33,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,3,19-04-2008,3rd match,Delhi Daredevils,Rajasthan Royals,Delhi,Feroz Shah Kotla,Rajasthan Royals,bat,Virender Sehwag,Glenn McGrath,Farveez Maharoof,Dinesh Karthik,Daniel Vettori,Gautam Gambhir,Mithun Manhas,Manoj Tiwary,Brett Geeves,Shikhar Dhawan,Rajat Bhatia,Mohammad Kaif,Shane Warne,Shane Watson,Munaf Patel,Ravindra Jadeja,Yusuf Pathan,Siddharth Trivedi,Taruwar Kohli,Darren Lehmann,Mahesh Rawat,Dinesh Salunkhe,Delhi Daredevils,,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,4,20-04-2008,4th match,Kolkata Knight Riders,Deccan Chargers,Kolkata,Eden Gardens,Deccan Chargers,bat,Sourav Ganguly,Ricky Ponting,Ajit Agarkar,Brendon McCullum,Murali Kartik,Mohammad Hafeez,David Hussey,Ishant Sharma,Wriddhiman Saha,Ashok Dinda,Laxmi Shukla,VVS Laxman,Adam Gilchrist,Andrew Symonds,Scott Styris,Chaminda Vaas,Venugopal Rao,RP Singh,Rohit Sharma,Pragyan Ojha,Arjun Yadav,Sanjay Bangar,Kolkata Knight Riders,,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,5,20-04-2008,5th match,Mumbai Indians,Royal Challengers Bangalore,Mumbai,Wankhede Stadium,Mumbai Indians,bat,Harbhajan Singh,Sanath Jayasuriya,Shaun Pollock,Ashish Nehra,Robin Uthappa,Luke Ronchi,Dhawal Kulkarni,Abhishek Nayar,Musavir Khote,Pinal Shah,Dominic Thornely,Rahul Dravid,Zaheer Khan,Mark Boucher,Jacques Kallis,Shivnarine Chanderpaul,Ross Taylor,Praveen Kumar,Virat Kohli,Vinay Kumar,Balachandra Akhil,Sunil Joshi,Royal Challengers Bangalore,,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,6,21-04-2008,6th match,Rajasthan Royals,Kings XI Punjab,Jaipur,Sawai Mansingh Stadium,Kings XI Punjab,bat,Mohammad Kaif,Kamran Akmal,Shane Warne,Shane Watson,Munaf Patel,Ravindra Jadeja,Yusuf Pathan,Siddharth Trivedi,Darren Lehmann,Dinesh Salunkhe,Pankaj Singh,Brett Lee,Yuvraj Singh,Irfan Pathan,Mahela Jayawardene,Kumar Sangakkara,James Hopes,S Sreesanth,Piyush Chawla,Karan Goel,Wilkin Mota,Sunny Sohal,Rajasthan Royals,,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,7,22-04-2008,7th match,Deccan Chargers,Delhi Daredevils,Hyderabad,Rajiv Gandhi International Stadium,Deccan Chargers,bat,VVS Laxman,Adam Gilchrist,Andrew Symonds,Chaminda Vaas,Shahid Afridi,Venugopal Rao,RP Singh,Rohit Sharma,Pragyan Ojha,Arjun Yadav,Sanjay Bangar,Virender Sehwag,Shoaib Malik,Glenn McGrath,Farveez Maharoof,Dinesh Karthik,Gautam Gambhir,Mohammad Asif,Manoj Tiwary,Shikhar Dhawan,Rajat Bhatia,Yo Mahesh,Delhi Daredevils,,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
